0,0,0 30,0,0
30,0,0 60,60,0
60,0,0 60,60,0
60,0,0 90,0,0
90,0,0 90,60,0
90,60,0 120,0,0
120,0,0 150,0,0
150,0,0 120,90,0
120,90,0 150,150,0
120,150,0 150,150,0
90,90,0 120,150,0
90,90,0 90,150,0
60,150,0 90,150,0
60,90,0 60,150,0
60,90,0 30,150,0
0,150,0 30,150,0
30,90,0 0,150,0
0,0,0 30,90,0
0,0,30 30,0,30
30,0,30 60,60,30
60,0,30 60,60,30
60,0,30 90,0,30
90,0,30 90,60,30
90,60,30 120,0,30
120,0,30 150,0,30
150,0,30 120,90,30
120,90,30 150,150,30
120,150,30 150,150,30
90,90,30 120,150,30
90,90,30 90,150,30
60,150,30 90,150,30
60,90,30 60,150,30
60,90,30 30,150,30
0,150,30 30,150,30
30,90,30 0,150,30
0,0,30 30,90,30
0,0,30 0,0,0
30,0,30 30,0,0
60,60,30 60,60,0
60,0,30 60,0,0
90,0,30 90,0,0
90,60,30 90,60,0
120,0,30 120,0,0
150,0,30 150,0,0
120,90,30 120,90,0
150,150,30 150,150,0
120,150,30 120,150,0
90,90,30 90,90,0
90,150,30 90,150,0
60,150,30 60,150,0
60,90,30 60,90,0
30,150,30 30,150,0
0,150,30 0,150,0
30,90,30 30,90,0
